Sample ID,Stromal,Immune,ESTIMATE,LNM
TCGA-UF-A7JO-01A,-287.96,1678.94,1390.98,0
TCGA-CN-4733-01A,1181.24,2370.41,3551.65,1
TCGA-CQ-7069-01A,-371.4,-35.44,-406.85,0
TCGA-P3-A6T5-01A,-384.06,104.19,-279.87,0
TCGA-CV-5439-01A,-1217.83,358.81,-859.01,1
TCGA-CQ-5330-01A,816.7,1343.13,2159.83,1
TCGA-CQ-7071-01A,-122.75,598.1,475.35,1
TCGA-QK-A6IJ-01A,-1098.99,835.43,-263.57,1
TCGA-P3-A6T8-01A,137.21,-419.78,-282.56,1
TCGA-CV-6951-01A,-991.85,-632.66,-1624.51,1
TCGA-CV-6441-01A,-1942.71,-516.99,-2459.7,0
TCGA-CV-A463-01A,-1166.85,-118.6,-1285.45,0
TCGA-BB-4224-01A,-1487.36,-339.22,-1826.59,1
TCGA-MT-A67A-01A,-1187.41,114.64,-1072.77,0
TCGA-BA-A6DD-01A,-185.63,824.12,638.5,1
TCGA-UF-A7JD-01A,556.15,-250.08,306.07,1
TCGA-D6-8569-01A,-463.6,349.22,-114.38,0
TCGA-CQ-7065-01A,-1193.15,-879.47,-2072.62,0
TCGA-IQ-A61J-01A,131.42,492.88,624.3,1
TCGA-F7-A61V-01A,-1244.24,-322.14,-1566.38,0
TCGA-CV-6961-01A,-173.84,133.14,-40.7,0
TCGA-D6-A6EM-01A,-432.1,1466.41,1034.31,1
TCGA-MZ-A7D7-01A,-1547.75,-682.62,-2230.37,1
TCGA-CN-4741-01A,-932.73,-70.46,-1003.19,0
TCGA-CV-A45P-01A,-1172.86,-227.41,-1400.27,0
TCGA-IQ-A6SG-01A,-1185.03,-600.18,-1785.21,0
TCGA-CV-7406-01A,-277.74,-640.1,-917.84,0
TCGA-BA-5151-01A,-33.91,622.89,588.98,0
TCGA-CN-4737-01A,283.96,33.44,317.4,1
TCGA-CV-5977-01A,-1075.55,-163.57,-1239.12,1
TCGA-CN-A63V-01A,444.85,-53.76,391.09,0
TCGA-CN-6011-01A,-716.94,255.49,-461.45,0
TCGA-UF-A7JA-01A,-578.42,-552.76,-1131.18,1
TCGA-WA-A7H4-01A,-131.14,-81.45,-212.59,0
TCGA-CN-6996-01A,297.28,1397.2,1694.48,1
TCGA-CV-7255-01A,-1329.2,-649.28,-1978.48,0
TCGA-CV-5442-01A,-1893.48,-696.42,-2589.9,1
TCGA-F7-A620-01A,-510.45,1183.22,672.78,1
TCGA-T3-A92N-01A,-889.77,281.56,-608.21,1
TCGA-CR-7390-01A,-283.67,-373.18,-656.85,0
TCGA-CN-6995-01A,-554.43,1090.74,536.31,0
TCGA-P3-A6T4-01A,-1128.8,-281.97,-1410.77,1
TCGA-CV-6436-01A,-655.03,1262.17,607.14,0
TCGA-QK-A6II-01A,-1334.43,347.87,-986.57,1
TCGA-CR-7382-01A,1502.13,1828.38,3330.51,1
TCGA-CN-6017-01A,1173.67,2242.09,3415.76,1
TCGA-CN-4725-01A,-831.67,-525.63,-1357.29,0
TCGA-CV-7103-01A,719.79,-467.4,252.4,1
TCGA-F7-A50J-01A,-631.48,346.83,-284.65,0
TCGA-CV-7102-01A,542.96,551.94,1094.9,1
TCGA-BB-A5HZ-01A,-563.59,-475.56,-1039.15,1
TCGA-BA-A6DJ-01A,-633.94,823.49,189.55,1
TCGA-QK-A6IH-01A,-613.48,0.93,-612.55,1
TCGA-CV-7235-01A,754.82,921.27,1676.1,0
TCGA-HD-A6I0-01A,-582.3,794.39,212.09,1
TCGA-D6-A6EN-01A,-805.55,1818.78,1013.24,1
TCGA-HD-7831-01A,1206.92,145.18,1352.1,1
TCGA-IQ-7631-01A,517.52,-544.53,-27.01,0
TCGA-UF-A7JS-01A,-440.12,1151.78,711.66,1
TCGA-QK-A652-01A,-332.88,632.68,299.8,1
TCGA-F7-A61W-01A,-1455.01,-602.2,-2057.21,1
TCGA-CQ-5334-01A,631.3,1330.55,1961.86,1
TCGA-CN-5367-01A,-358.2,232.65,-125.55,1
TCGA-CN-6013-01A,-44.47,1781.3,1736.83,1
TCGA-P3-A6T3-01A,-1032.01,-465.52,-1497.53,1
TCGA-CR-6493-01A,-1107.34,-221.42,-1328.75,1
TCGA-CV-6003-01A,-1220.6,-253.39,-1473.99,1
TCGA-KU-A66T-01A,-1582.74,-669.92,-2252.66,0
TCGA-CV-A45U-01A,-1150.32,-226.41,-1376.73,1
TCGA-CR-6492-01A,-642.52,429.54,-212.98,1
TCGA-CN-6998-01A,-996.41,40.6,-955.82,1
TCGA-CN-5358-01A,1708.19,2085.99,3794.18,0
TCGA-CQ-5325-01A,755.55,2060.92,2816.47,0
TCGA-CR-7392-01A,990.83,1419.75,2410.58,1
TCGA-CV-6939-01A,-280.16,711.59,431.43,1
TCGA-HD-8224-01A,-8.97,-75.79,-84.76,1
TCGA-4P-AA8J-01A,461.98,726.71,1188.69,1
TCGA-D6-6515-01A,1012.2,1896.92,2909.12,0
TCGA-CV-5970-01A,58.54,234.44,292.98,1
TCGA-CV-A6JU-01A,-487.66,92.18,-395.48,0
TCGA-MT-A67F-01A,13.74,2307.03,2320.78,0
TCGA-F7-A61S-01A,-1026.01,861.39,-164.62,0
TCGA-CR-7393-01A,1147.75,1804.85,2952.6,1
TCGA-CN-5364-01A,-282.86,382.78,99.92,1
TCGA-D6-A4ZB-01A,-837.64,-98.13,-935.77,0
TCGA-CN-A642-01A,-496.93,701.22,204.29,1
TCGA-P3-A6T2-01A,-617.59,-127.41,-745,1
TCGA-CV-A6JO-01B,-669.9,990.93,321.02,1
TCGA-CN-4726-01A,266.8,535.95,802.75,1
TCGA-QK-A6VB-01A,-1153.94,-740.09,-1894.03,0
TCGA-UF-A719-01A,-1499.04,-202.88,-1701.92,0
TCGA-CN-4742-01A,544.31,441.18,985.49,1
TCGA-CQ-6219-01A,388.36,1232.96,1621.33,1
TCGA-P3-A5QF-01A,-1223.08,3.2,-1219.88,1
TCGA-CV-5979-01A,-984.47,-79.62,-1064.09,1
TCGA-CR-6488-01A,567.39,1067.62,1635.01,0
TCGA-BA-A6D8-01A,-332.55,-42.33,-374.88,1
TCGA-IQ-A61G-01A,-1856.07,-325.44,-2181.52,1
TCGA-BA-4074-01A,34.34,203.3,237.64,1
TCGA-D6-6825-01A,343.46,1487.34,1830.8,0
TCGA-CV-6936-01A,-706.47,298.35,-408.12,1
TCGA-CV-A6JY-01A,-1302.46,-441.94,-1744.4,0
TCGA-CR-6491-01A,-808.71,-123.81,-932.52,1
TCGA-CV-6433-01A,-1044.84,1527.86,483.02,0
TCGA-T2-A6X2-01A,-242.27,624.47,382.19,0
TCGA-CV-A464-01A,426.39,299.03,725.42,0
TCGA-CV-A45V-01A,-171.02,528.51,357.49,0
TCGA-C9-A47Z-01A,-1110.78,-201.37,-1312.15,1
TCGA-CV-6941-01A,287.98,49.18,337.16,0
TCGA-CQ-7072-01A,591.66,-162.51,429.15,0
TCGA-CV-6950-01A,-291.88,-38.28,-330.16,1
TCGA-CV-6940-01A,-673.92,-327.94,-1001.86,1
TCGA-CV-7104-01A,170.87,855.32,1026.2,1
TCGA-CV-7238-01A,-205.78,761.26,555.47,0
TCGA-CV-6959-01A,-104.28,628.07,523.8,0
TCGA-CX-7086-01A,-1323.76,-177.56,-1501.33,1
TCGA-IQ-A61E-01A,-642.25,463.62,-178.63,0
TCGA-CQ-5327-01A,-286.81,1272.18,985.37,1
TCGA-RS-A6TO-01A,-322.62,502.78,180.17,1
TCGA-UF-A7JT-01A,70.11,1708.04,1778.15,0
TCGA-CN-4740-01A,1548.5,1405.75,2954.25,0
TCGA-CN-5370-01A,1224.28,1519.53,2743.8,1
TCGA-MT-A51X-01A,-526.02,-122.49,-648.51,1
TCGA-CR-7372-01A,166.94,-84.03,82.9,0
TCGA-CV-6933-01A,-108.2,923,814.8,1
TCGA-UF-A7JC-01A,-1193.37,-619.81,-1813.18,1
TCGA-CV-6956-01A,-1254.45,-1006.58,-2261.04,1
TCGA-CQ-A4CG-01A,-491.12,-392.39,-883.51,0
TCGA-MT-A67D-01A,-95.32,595.93,500.6,0
TCGA-HD-A633-01A,-894.43,-182.58,-1077.01,0
TCGA-HD-A4C1-01A,-578.95,-118.99,-697.93,1
TCGA-CN-5373-01A,570.58,1129.96,1700.54,0
TCGA-CR-7397-01A,1138.72,595.88,1734.6,1
TCGA-CN-6024-01A,-529.58,-976.66,-1506.24,1
TCGA-CV-6952-01A,-653.83,471.73,-182.11,1
TCGA-CX-A4AQ-01A,-375.6,1576.08,1200.48,1
TCGA-P3-A6T0-01A,-910.72,-585.04,-1495.76,0
TCGA-D6-A6EO-01A,-1051.01,-607.1,-1658.11,0
TCGA-CQ-A4CH-01A,-550.27,101.6,-448.67,0
TCGA-CN-6020-01A,240.81,516.05,756.87,1
TCGA-CN-6016-01A,1188.85,905.1,2093.95,1
TCGA-KU-A6H8-01A,-170.51,146.95,-23.56,1
TCGA-CV-6948-01A,-886.77,134.5,-752.26,1
TCGA-CV-A6K2-01A,-626.3,421.66,-204.65,0
TCGA-CV-5973-01A,-1318.91,-47.17,-1366.09,1
TCGA-C9-A480-01A,-1207.59,112.19,-1095.4,0
TCGA-CQ-6218-01A,-178.44,490.76,312.32,1
TCGA-BA-A6DB-01A,177.98,1533.84,1711.82,0
TCGA-CQ-6229-01A,-372.87,308.52,-64.36,0
TCGA-CN-6019-01A,1559.83,1462.83,3022.66,0
TCGA-IQ-A6SH-01A,-581.97,704.29,122.32,1
TCGA-QK-A6IG-01A,-655.62,478.51,-177.11,1
TCGA-CN-A49A-01A,-199.8,-920.89,-1120.69,0
TCGA-F7-8489-01A,-338.03,1108.81,770.77,0
TCGA-CN-5359-01A,1199.63,1574.96,2774.6,1
TCGA-CV-A45X-01A,-1298.48,-107.72,-1406.2,1
TCGA-CR-7394-01A,731.22,1899.16,2630.38,0
TCGA-CN-5369-01A,391.71,1486.06,1877.77,0
TCGA-CV-6953-01A,-922.75,380.88,-541.86,0
TCGA-CV-5971-01A,1309.27,1205.42,2514.69,1
TCGA-CX-7085-01A,1384.86,1966.8,3351.67,0
TCGA-CV-7446-01A,-615.57,-347.04,-962.6,1
TCGA-CQ-A4C6-01A,-265.17,509.15,243.99,0
TCGA-CQ-A4CB-01A,350.95,507.67,858.63,1
TCGA-CN-A498-01A,-1074.94,58.5,-1016.45,0
TCGA-P3-A6T7-01A,-659,-28.28,-687.28,1
TCGA-CQ-A4C9-01A,-368.74,-186.3,-555.05,1
TCGA-CV-A6JT-01A,61.19,659.02,720.21,0
TCGA-F7-A50G-01A,-392.8,878.98,486.18,1
TCGA-CV-6945-01A,-1032.56,-480.77,-1513.32,1
TCGA-CV-7236-01A,-2.41,99.27,96.85,1
TCGA-IQ-A61H-01A,-384.11,-387.85,-771.96,0
TCGA-D6-6823-01A,-916.42,-302.31,-1218.72,0
TCGA-UF-A71B-01A,-269.08,221.51,-47.57,0
TCGA-CV-A465-01A,-1587.09,-704.05,-2291.14,0
TCGA-CN-4734-01A,62.4,1186.37,1248.76,0
TCGA-CV-A6K0-01B,455.07,1252.89,1707.96,0
TCGA-HD-A6HZ-01A,192.15,1070.2,1262.35,1
TCGA-BA-5556-01A,-196.56,1627.85,1431.29,0
TCGA-QK-A8Z9-01B,922.26,556.72,1478.98,1
TCGA-CQ-5329-01A,341.51,845.42,1186.92,0
TCGA-CV-5436-01A,-648.21,-59.44,-707.65,1
TCGA-CV-A6JZ-01A,321.57,1704.37,2025.94,0
TCGA-D6-A4Z9-01A,-632.64,146.46,-486.18,1
TCGA-BA-6873-01A,-525.71,356.53,-169.17,1
TCGA-CV-5976-01A,-573.15,-127.34,-700.49,1
TCGA-CQ-5333-01A,61.36,2004.5,2065.85,0
TCGA-CV-6934-01A,1639.07,1221.22,2860.29,1
TCGA-H7-8501-01A,54.18,1929.69,1983.87,1
TCGA-BA-7269-01A,-107.59,-92.54,-200.13,1
TCGA-CR-7401-01A,289.38,211.69,501.07,0
TCGA-CQ-6222-01A,-25.88,1566.67,1540.79,1
TCGA-CQ-6224-01A,1019.27,814.97,1834.23,1
TCGA-CV-A45R-01A,-46.73,495.12,448.39,1
TCGA-BB-8601-01A,-1792.22,-1309.57,-3101.79,1
TCGA-UF-A71A-01A,-187.16,-599.34,-786.5,1
TCGA-HD-7832-01A,-753.29,346.74,-406.54,0
TCGA-BA-A6DE-01A,-1175.29,-262.4,-1437.69,0
TCGA-BB-A6UO-01A,-38.53,154.55,116.02,1
TCGA-CQ-A4CE-01A,-987.78,239.88,-747.9,0
TCGA-BB-A5HU-01A,99.16,72.7,171.87,1